id,nama_property,lokasi,tipe,luas_m2,harga_sewa_bulan,fasilitas,jarak_ke_mrt_km,rating_review
389,Kost Eksklusif Sudirman B,Jakarta Barat,3BR,76.5,17000000,"Akses Kartu, Furnished, Gym, Kolam Renang, Minimarket, Taman Bermain",0.93,4.3
390,Apartemen Green Bay A,Bekasi,2BR,53.6,7310000,"AC, Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",2.43,4.2
391,Apartemen Cervino A,Tangerang,1BR,42.5,3660000,"Akses Kartu, Furnished, Kolam Renang",10.82,3.5
392,Kost Eksklusif Bintaro C,Tangerang,2BR,64.9,6620000,"Gym, Keamanan 24 Jam, Minimarket, Taman Bermain",5.28,4.7
393,Suites Royal Mediterania I,Jakarta Pusat,2BR,74.9,10850000,"Furnished, Gym, Keamanan 24 Jam, Laundry, Minimarket, Parkir",0.95,4.2
394,Residence Cikini C,Bekasi,3BR,100.9,10600000,"Kolam Renang, Laundry, Minimarket, Taman Bermain",4.33,3.8
395,Residence Cikini C,Depok,Studio,29.7,3640000,"Gym, Minimarket, Taman Bermain",8.49,3.9
396,Tower Permata A,Jakarta Barat,Studio,20.9,3760000,"AC, Akses Kartu, Kolam Renang",8.0,3.9
397,Tower Kemang I,Bekasi,2BR,54.7,8840000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket",9.6,4.2
398,Kost Eksklusif Pluit C,Jakarta Selatan,2BR,68.3,9430000,"AC, Keamanan 24 Jam, Taman Bermain",1.08,4.7
399,Kost Eksklusif Kemang C,Jakarta Selatan,Studio,25.2,5820000,"AC, Gym, Keamanan 24 Jam, Minimarket, Parkir",7.94,5.0
400,Apartemen Kemang B,Jakarta Pusat,1BR,42.2,6900000,"Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir, Taman Bermain",4.66,3.9
401,Residence Cikini I,Bekasi,2BR,56.7,8790000,"Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",11.08,3.0
402,Suites Royal Mediterania C,Bekasi,3BR,109.1,14690000,"Akses Kartu, Furnished, Gym",8.23,3.7
403,Residence Margonda II,Jakarta Utara,Studio,21.1,3670000,"Furnished, Minimarket, Parkir, Taman Bermain",5.59,3.0
404,Apartemen Royal Mediterania A,Jakarta Selatan,Studio,18.1,3290000,"AC, Kolam Renang, Parkir, Taman Bermain",5.41,3.1
405,Residence Pluit C,Jakarta Timur,Studio,26.5,2740000,"Furnished, Gym, Keamanan 24 Jam, Laundry",10.29,3.9
406,Suites Bintaro C,Jakarta Barat,3BR,125.0,9210000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang",5.18,5.0
407,Suites Casablanca B,Jakarta Utara,2BR,46.2,5280000,"Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",11.76,4.1
408,Tower Pondok Indah A,Tangerang,1BR,38.4,3770000,"AC, Akses Kartu, Gym, Kolam Renang, Taman Bermain",5.35,4.8
409,Apartemen Permata B,Jakarta Pusat,Studio,29.2,4800000,"Furnished, Kolam Renang, Laundry, Minimarket, Parkir, Taman Bermain",8.43,3.0
410,Tower Senayan I,Bekasi,Studio,24.8,4370000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry",4.37,4.5
411,Tower Tebet A,Jakarta Utara,1BR,31.0,3600000,"AC, Furnished, Gym, Laundry",4.67,4.8
412,Kost Eksklusif Cervino I,Bekasi,1BR,30.4,3980000,"Akses Kartu, Gym, Laundry, Minimarket",8.66,4.1
413,Kost Eksklusif Pondok Indah II,Bekasi,Studio,18.4,2610000,"Gym, Laundry, Parkir",9.47,3.3
414,Apartemen Kuningan A,Jakarta Timur,Studio,18.4,2780000,"Furnished, Gym, Kolam Renang, Laundry, Parkir, Taman Bermain",7.88,4.8
415,Residence Grand Galaxy C,Jakarta Barat,3BR,104.7,16850000,"Gym, Minimarket, Parkir",0.86,4.6
416,Apartemen Pluit B,Tangerang,2BR,44.2,7740000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir",6.6,4.5
417,Residence Senayan II,Jakarta Pusat,2BR,59.4,10850000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",0.58,4.8
418,Kost Eksklusif Kuningan I,Tangerang,3BR,110.0,8650000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",7.71,4.2
419,Kost Eksklusif Cikini B,Jakarta Barat,2BR,52.2,5020000,"Akses Kartu, Furnished, Gym",2.9,3.9
420,Tower Cervino B,Jakarta Timur,2BR,41.9,5450000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",1.88,3.9
421,Apartemen Senayan B,Depok,3BR,67.8,12920000,"AC, Keamanan 24 Jam, Kolam Renang, Minimarket",11.11,4.4
422,Residence Grand Galaxy B,Depok,3BR,77.9,12410000,"Furnished, Gym, Parkir",3.98,3.8
423,Tower Thamrin I,Jakarta Timur,Studio,23.7,3470000,"Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",10.7,4.4
424,Suites Pondok Indah I,Depok,2BR,47.1,5510000,"AC, Gym, Keamanan 24 Jam",8.34,3.3
425,Suites Cikini I,Depok,1BR,43.1,5010000,"Akses Kartu, Kolam Renang, Parkir, Taman Bermain",9.5,4.7
426,Residence Green Bay B,Jakarta Timur,3BR,119.4,9230000,"AC, Furnished, Laundry, Parkir",8.79,4.8
427,Suites Casablanca I,Jakarta Selatan,3BR,128.7,9470000,"Akses Kartu, Laundry, Taman Bermain",9.25,4.0
428,Tower Kuningan I,Jakarta Barat,Studio,26.3,3310000,"AC, Akses Kartu, Gym, Kolam Renang, Parkir",2.69,4.7
429,Tower Cikini A,Jakarta Selatan,3BR,95.1,10870000,"Furnished, Gym, Kolam Renang, Minimarket, Parkir",2.3,3.6
430,Apartemen Bintaro C,Jakarta Utara,1BR,41.4,3700000,"Akses Kartu, Furnished, Kolam Renang",10.58,3.9
431,Apartemen Tebet II,Jakarta Selatan,2BR,52.8,10180000,"AC, Furnished, Keamanan 24 Jam, Parkir",6.77,4.7
432,Suites Cikini II,Jakarta Timur,1BR,33.4,5740000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",6.09,4.7
433,Apartemen Bintaro B,Bekasi,2BR,55.8,6470000,"Gym, Minimarket, Parkir",8.11,3.6
434,Suites Permata B,Jakarta Barat,Studio,20.0,2720000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir",1.86,3.9
435,Suites Green Bay C,Tangerang,3BR,113.0,7170000,"Akses Kartu, Furnished, Parkir",2.35,4.3
436,Tower Kelapa Gading I,Depok,3BR,103.6,12570000,"AC, Gym, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",10.12,3.7
437,Residence Kuningan B,Jakarta Utara,Studio,19.8,3070000,"AC, Akses Kartu, Gym, Keamanan 24 Jam",11.48,3.2
438,Tower Pondok Indah II,Depok,1BR,35.5,4420000,"Furnished, Keamanan 24 Jam, Taman Bermain",2.54,5.0
439,Kost Eksklusif Cikini C,Jakarta Utara,Studio,29.0,3310000,"Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket",6.04,4.3
440,Apartemen Tebet A,Jakarta Utara,3BR,123.2,14760000,"Akses Kartu, Furnished, Minimarket, Taman Bermain",9.07,3.3
441,Residence Green Bay II,Jakarta Barat,2BR,40.9,7470000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang",2.72,3.4
442,Suites Margonda II,Jakarta Utara,1BR,28.4,4850000,"Akses Kartu, Laundry, Parkir",5.4,4.2
443,Tower Pondok Indah II,Jakarta Selatan,2BR,53.9,10110000,"AC, Akses Kartu, Furnished",4.69,3.2
444,Suites Cikini C,Bekasi,3BR,117.2,9310000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",9.69,3.1
445,Residence Bintaro C,Tangerang,Studio,18.1,3780000,"Akses Kartu, Gym, Keamanan 24 Jam, Minimarket",3.35,4.1
446,Tower Tebet A,Jakarta Selatan,2BR,69.2,8150000,"AC, Keamanan 24 Jam, Kolam Renang",5.62,4.3
447,Apartemen Royal Mediterania C,Jakarta Utara,3BR,76.7,14250000,"AC, Gym, Minimarket",7.77,4.2
448,Tower Kuningan II,Tangerang,2BR,62.0,6900000,"Akses Kartu, Furnished, Kolam Renang",8.36,3.1
449,Tower Cikini A,Depok,3BR,122.1,8080000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",2.04,4.0
450,Tower Thamrin A,Jakarta Pusat,Studio,25.2,3580000,"AC, Furnished, Gym, Laundry, Taman Bermain",3.86,3.3
451,Residence Menteng II,Jakarta Utara,2BR,67.3,6650000,"AC, Gym, Keamanan 24 Jam, Parkir",11.06,4.2
452,Tower Thamrin I,Jakarta Barat,3BR,94.9,7610000,"AC, Furnished, Minimarket",9.84,4.8
453,Residence Menteng B,Depok,1BR,40.1,3570000,"Akses Kartu, Keamanan 24 Jam, Parkir, Taman Bermain",9.79,5.0
454,Kost Eksklusif Green Bay A,Tangerang,Studio,18.9,4050000,"Gym, Kolam Renang, Parkir",9.11,3.9
455,Residence Alam Sutera A,Jakarta Utara,Studio,18.8,3840000,"Akses Kartu, Parkir, Taman Bermain",9.08,3.2
456,Kost Eksklusif Sudirman II,Jakarta Utara,2BR,52.3,8420000,"Akses Kartu, Gym, Laundry, Taman Bermain",9.39,3.4
457,Kost Eksklusif Kuningan I,Jakarta Timur,2BR,46.0,9800000,"Akses Kartu, Furnished, Minimarket, Taman Bermain",0.15,4.3
458,Suites Casablanca II,Jakarta Barat,1BR,42.2,5950000,"Furnished, Gym, Kolam Renang, Laundry",5.15,3.3
459,Kost Eksklusif Cervino I,Depok,2BR,59.5,5160000,"AC, Laundry, Minimarket",4.0,3.5
460,Suites Pondok Indah II,Tangerang,2BR,74.5,6710000,"Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir, Taman Bermain",10.3,4.3
461,Residence Margonda B,Jakarta Barat,Studio,19.7,3300000,"Furnished, Gym, Keamanan 24 Jam",7.13,4.2
462,Suites Tebet II,Tangerang,Studio,20.8,3350000,"AC, Akses Kartu, Furnished, Laundry, Minimarket",6.04,3.6
463,Apartemen Tebet A,Bekasi,Studio,19.5,3480000,"Gym, Kolam Renang, Laundry, Taman Bermain",2.85,4.9
464,Residence Cervino I,Tangerang,2BR,45.3,7490000,"Akses Kartu, Minimarket, Taman Bermain",1.25,4.0
465,Suites Kemang A,Jakarta Utara,2BR,68.3,8780000,"Furnished, Gym, Keamanan 24 Jam, Laundry, Minimarket, Parkir",0.31,3.4
466,Kost Eksklusif Kemang I,Jakarta Utara,1BR,36.4,3840000,"AC, Akses Kartu, Gym, Minimarket, Parkir, Taman Bermain",8.62,3.5
467,Tower Bintaro A,Tangerang,2BR,66.8,7420000,"Furnished, Kolam Renang, Laundry, Taman Bermain",0.83,3.9
468,Apartemen Margonda B,Depok,3BR,87.8,12290000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",3.05,3.0
469,Suites Green Bay I,Depok,Studio,23.5,4230000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",6.86,3.6
470,Suites Senayan II,Jakarta Barat,3BR,71.5,12400000,"AC, Furnished, Gym, Keamanan 24 Jam, Parkir",4.1,3.4
471,Tower Senayan II,Jakarta Utara,Studio,21.6,3650000,"Furnished, Gym, Taman Bermain",9.67,4.6
472,Tower Menteng I,Bekasi,3BR,78.6,13370000,"AC, Akses Kartu, Furnished, Laundry, Taman Bermain",7.85,3.8
473,Suites Pluit II,Bekasi,1BR,43.0,5070000,"Furnished, Minimarket, Parkir, Taman Bermain",6.24,4.6
474,Apartemen Menteng I,Tangerang,Studio,24.3,3230000,"AC, Akses Kartu, Keamanan 24 Jam, Laundry",1.86,3.5
475,Residence Cervino I,Jakarta Utara,1BR,32.4,5000000,"Keamanan 24 Jam, Kolam Renang, Parkir",4.93,4.0
476,Kost Eksklusif Kuningan A,Tangerang,3BR,107.0,7300000,"AC, Akses Kartu, Furnished, Kolam Renang",2.0,4.9
477,Apartemen Bintaro B,Bekasi,Studio,18.7,4290000,"Akses Kartu, Furnished, Gym, Laundry, Minimarket",3.84,3.5
478,Residence Casablanca B,Jakarta Barat,2BR,57.4,5360000,"Furnished, Gym, Laundry, Minimarket, Parkir",7.24,3.4
479,Suites Kelapa Gading C,Jakarta Utara,3BR,91.5,16730000,"Akses Kartu, Furnished, Laundry",0.77,4.8
480,Kost Eksklusif Bintaro C,Jakarta Pusat,2BR,56.6,8160000,"AC, Kolam Renang, Parkir",7.78,4.3
481,Apartemen Kelapa Gading C,Depok,Studio,24.4,2970000,"AC, Akses Kartu, Laundry",5.36,3.4
482,Suites Grand Galaxy C,Jakarta Pusat,3BR,106.0,19000000,"AC, Gym, Minimarket",4.93,4.4
483,Residence Pondok Indah B,Jakarta Barat,1BR,39.9,4770000,"Akses Kartu, Furnished, Kolam Renang, Laundry, Minimarket",4.29,3.0
484,Suites Thamrin C,Jakarta Timur,2BR,51.0,5330000,"Furnished, Laundry, Parkir, Taman Bermain",1.98,3.3
485,Residence Senayan I,Depok,2BR,47.0,6660000,"AC, Furnished, Kolam Renang, Minimarket, Parkir, Taman Bermain",2.26,3.4
486,Suites Pondok Indah I,Jakarta Pusat,Studio,22.8,4200000,"AC, Furnished, Gym, Keamanan 24 Jam, Kolam Renang",1.16,3.2
487,Residence Cervino B,Jakarta Timur,1BR,44.1,5530000,"AC, Gym, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",3.27,3.8
488,Residence Margonda I,Tangerang,1BR,28.5,5940000,"Furnished, Kolam Renang, Laundry, Minimarket, Parkir, Taman Bermain",2.9,4.4
489,Suites Alam Sutera II,Tangerang,3BR,112.8,9050000,"Furnished, Kolam Renang, Parkir",1.23,4.9
490,Tower Kuningan II,Jakarta Selatan,Studio,21.0,4710000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang",4.8,4.0
491,Residence Tebet C,Depok,3BR,73.6,9540000,"AC, Furnished, Gym, Kolam Renang",6.41,4.5
492,Suites Thamrin II,Tangerang,2BR,71.6,6050000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry",9.97,4.7
493,Apartemen Pondok Indah C,Bekasi,Studio,20.3,2610000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket, Parkir",2.28,5.0
494,Tower Kuningan B,Bekasi,3BR,97.0,13770000,"Furnished, Gym, Parkir",10.42,4.5
495,Suites Casablanca C,Jakarta Utara,1BR,37.9,5930000,"Gym, Laundry, Parkir, Taman Bermain",6.36,3.1
496,Suites Pondok Indah C,Jakarta Barat,3BR,89.3,14430000,"Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Parkir",1.36,4.2
497,Apartemen Senayan II,Jakarta Selatan,2BR,73.9,10600000,"AC, Keamanan 24 Jam, Kolam Renang, Parkir",3.97,4.9
498,Tower Thamrin A,Tangerang,Studio,22.8,2860000,"Furnished, Gym, Kolam Renang, Minimarket, Parkir, Taman Bermain",11.58,3.6
499,Suites Pondok Indah I,Tangerang,2BR,71.6,7410000,"Akses Kartu, Furnished, Parkir",4.37,4.0
500,Residence Thamrin I,Tangerang,Studio,27.1,4120000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",7.41,4.1
501,Kost Eksklusif Grand Galaxy C,Jakarta Barat,2BR,56.4,5320000,"AC, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",9.64,4.1
502,Kost Eksklusif Sudirman A,Jakarta Barat,Studio,24.2,3520000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Taman Bermain",5.01,4.5
503,Tower Kuningan B,Bekasi,1BR,41.4,6680000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Minimarket",0.64,3.4
504,Suites Royal Mediterania I,Jakarta Utara,Studio,23.2,2540000,"Akses Kartu, Keamanan 24 Jam, Minimarket",4.8,3.6
505,Apartemen Menteng I,Depok,3BR,117.3,7700000,"Gym, Kolam Renang, Laundry, Parkir",1.71,4.3
506,Suites Grand Galaxy A,Jakarta Timur,3BR,119.7,13870000,"AC, Keamanan 24 Jam, Minimarket",6.51,3.2
507,Apartemen Casablanca I,Jakarta Pusat,3BR,127.7,14780000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry",7.06,5.0
508,Kost Eksklusif Senayan C,Bekasi,2BR,41.3,6600000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",6.21,4.8
509,Suites Alam Sutera I,Tangerang,3BR,72.6,11980000,"Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",7.79,3.5
510,Suites Kuningan II,Jakarta Timur,2BR,72.3,8410000,"AC, Furnished, Keamanan 24 Jam, Laundry, Parkir, Taman Bermain",8.61,3.4
511,Residence Menteng II,Jakarta Barat,3BR,73.4,8600000,"AC, Laundry, Minimarket",7.31,3.1
512,Apartemen Royal Mediterania B,Jakarta Selatan,2BR,70.8,7920000,"Furnished, Gym, Laundry",9.95,3.2
513,Kost Eksklusif Royal Mediterania A,Jakarta Timur,3BR,81.8,9720000,"AC, Akses Kartu, Keamanan 24 Jam",4.33,4.4
514,Residence Casablanca B,Bekasi,3BR,127.6,13050000,"Akses Kartu, Gym, Kolam Renang",11.7,4.8
515,Residence Pondok Indah I,Jakarta Pusat,2BR,64.8,10460000,"Furnished, Keamanan 24 Jam, Kolam Renang, Taman Bermain",10.46,4.5
516,Residence Thamrin II,Jakarta Selatan,1BR,42.2,5890000,"Akses Kartu, Furnished, Laundry, Minimarket, Taman Bermain",2.14,3.8
517,Kost Eksklusif Senayan A,Jakarta Timur,1BR,41.6,4530000,"Akses Kartu, Furnished, Gym, Kolam Renang, Minimarket, Parkir",4.97,3.7
518,Suites Permata C,Tangerang,1BR,35.4,5570000,"AC, Kolam Renang, Parkir, Taman Bermain",0.54,4.4
519,Kost Eksklusif Royal Mediterania I,Depok,2BR,40.3,6120000,"AC, Laundry, Minimarket, Parkir",6.38,4.4
520,Kost Eksklusif Cervino II,Tangerang,1BR,43.0,3710000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Minimarket",6.5,3.7
521,Tower Pluit II,Jakarta Pusat,Studio,18.3,5400000,"Akses Kartu, Furnished, Gym, Kolam Renang, Laundry",2.97,3.7
522,Tower Cervino II,Jakarta Selatan,Studio,23.4,4380000,"Akses Kartu, Keamanan 24 Jam, Parkir, Taman Bermain",4.13,4.3
523,Suites Senayan A,Tangerang,1BR,29.8,4790000,"Furnished, Gym, Keamanan 24 Jam, Minimarket, Parkir",2.39,3.1
524,Suites Kuningan B,Jakarta Pusat,3BR,79.0,10180000,"AC, Akses Kartu, Furnished, Laundry, Minimarket, Parkir",4.89,4.0
525,Apartemen Kuningan II,Bekasi,3BR,73.4,12640000,"Akses Kartu, Minimarket, Parkir",10.37,3.7
526,Tower Cervino I,Jakarta Barat,3BR,72.2,9960000,"AC, Furnished, Gym, Keamanan 24 Jam",3.55,3.1
527,Kost Eksklusif Alam Sutera A,Jakarta Pusat,1BR,41.3,6320000,"Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket, Parkir",3.73,4.7
528,Suites Pondok Indah B,Tangerang,3BR,102.2,11530000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Minimarket, Parkir",10.81,4.7
529,Suites Pluit A,Depok,Studio,27.6,3830000,"Akses Kartu, Furnished, Kolam Renang, Laundry",4.97,4.7
530,Suites Cikini A,Jakarta Selatan,2BR,59.6,7210000,"Akses Kartu, Parkir, Taman Bermain",2.39,3.2
531,Suites Sudirman C,Jakarta Pusat,Studio,21.3,3980000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang, Parkir",10.08,3.9
532,Tower Thamrin B,Tangerang,Studio,28.3,3130000,"Akses Kartu, Gym, Keamanan 24 Jam",3.16,3.5
533,Apartemen Margonda B,Jakarta Barat,1BR,33.2,4520000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",2.11,3.8
534,Kost Eksklusif Bintaro A,Depok,2BR,53.1,8310000,"AC, Minimarket, Parkir, Taman Bermain",1.54,3.5
535,Residence Permata B,Depok,3BR,101.0,9130000,"AC, Akses Kartu, Gym",0.44,3.6
536,Residence Permata I,Tangerang,3BR,70.5,12090000,"Akses Kartu, Furnished, Keamanan 24 Jam, Laundry",2.52,4.9
537,Kost Eksklusif Pluit I,Bekasi,Studio,18.0,3430000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",9.97,5.0
538,Kost Eksklusif Pluit I,Jakarta Timur,2BR,41.6,7960000,"Akses Kartu, Gym, Laundry, Minimarket, Taman Bermain",6.8,3.4
539,Kost Eksklusif Margonda A,Depok,2BR,62.2,8920000,"Akses Kartu, Furnished, Gym, Parkir, Taman Bermain",8.52,4.8
540,Kost Eksklusif Sudirman I,Jakarta Pusat,Studio,25.3,3020000,"Akses Kartu, Furnished, Gym, Kolam Renang, Laundry, Taman Bermain",2.17,4.3
541,Residence Pondok Indah A,Depok,3BR,118.8,9860000,"Furnished, Gym, Minimarket",2.21,3.4
542,Tower Tebet II,Jakarta Selatan,2BR,63.8,9700000,"Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir, Taman Bermain",9.81,3.4
543,Kost Eksklusif Thamrin A,Jakarta Timur,3BR,72.2,9220000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir",6.05,3.3
544,Apartemen Margonda I,Jakarta Timur,2BR,46.7,7710000,"Akses Kartu, Furnished, Kolam Renang, Minimarket, Parkir",11.9,4.7
545,Suites Permata I,Tangerang,2BR,44.3,7070000,"AC, Kolam Renang, Parkir",6.0,3.6
546,Residence Margonda C,Tangerang,1BR,33.7,5700000,"Akses Kartu, Gym, Laundry, Parkir",9.71,3.1
547,Tower Kemang C,Jakarta Barat,Studio,23.8,4120000,"AC, Akses Kartu, Gym, Minimarket, Parkir",7.15,4.0
548,Tower Senayan B,Jakarta Timur,Studio,27.3,3740000,"Akses Kartu, Gym, Kolam Renang, Laundry, Parkir, Taman Bermain",9.19,3.1
549,Apartemen Royal Mediterania I,Bekasi,Studio,21.6,4570000,"AC, Akses Kartu, Laundry",0.88,3.5
550,Apartemen Casablanca A,Jakarta Selatan,3BR,90.0,18390000,"AC, Furnished, Gym, Kolam Renang, Minimarket",7.47,4.2
551,Residence Kemang A,Jakarta Barat,1BR,43.4,3810000,"Akses Kartu, Gym, Laundry, Minimarket, Taman Bermain",6.16,3.3
552,Tower Sudirman II,Tangerang,2BR,50.9,8540000,"AC, Furnished, Keamanan 24 Jam, Minimarket",9.33,4.2
553,Suites Pondok Indah II,Jakarta Pusat,Studio,20.8,6430000,"Akses Kartu, Furnished, Gym, Parkir",0.75,4.4
554,Residence Kelapa Gading I,Depok,2BR,54.7,5650000,"Kolam Renang, Minimarket, Parkir",5.51,4.2
555,Apartemen Senayan C,Jakarta Timur,3BR,112.7,14620000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket, Parkir",4.05,3.1
556,Residence Kelapa Gading C,Jakarta Barat,1BR,32.9,3990000,"Gym, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",7.07,4.4
557,Apartemen Margonda B,Depok,1BR,31.0,3550000,"Keamanan 24 Jam, Kolam Renang, Laundry",10.13,3.6
558,Kost Eksklusif Bintaro C,Jakarta Timur,2BR,68.3,7640000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",11.3,3.6
559,Tower Thamrin II,Tangerang,1BR,43.7,5410000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir",7.09,4.9
560,Kost Eksklusif Alam Sutera I,Bekasi,1BR,40.4,5460000,"Akses Kartu, Keamanan 24 Jam, Laundry",9.51,4.0
561,Suites Kelapa Gading I,Jakarta Pusat,2BR,64.9,9210000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang, Laundry",11.47,3.4
562,Suites Cikini C,Tangerang,3BR,102.1,14480000,"AC, Gym, Keamanan 24 Jam",4.55,3.5
563,Residence Pondok Indah B,Jakarta Selatan,3BR,98.3,12500000,"AC, Furnished, Kolam Renang, Minimarket, Parkir",5.25,3.5
564,Apartemen Senayan C,Jakarta Barat,2BR,71.6,6180000,"AC, Gym, Parkir",6.07,3.1
565,Tower Alam Sutera I,Jakarta Timur,2BR,46.9,6320000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir",3.7,4.9
566,Kost Eksklusif Green Bay II,Jakarta Selatan,3BR,107.5,20740000,"Gym, Minimarket, Parkir, Taman Bermain",10.4,4.5
567,Tower Thamrin II,Bekasi,2BR,67.7,6250000,"AC, Akses Kartu, Kolam Renang, Laundry, Minimarket, Parkir",2.34,4.7
568,Kost Eksklusif Cervino C,Jakarta Utara,Studio,24.0,3820000,"Akses Kartu, Laundry, Minimarket, Taman Bermain",4.32,4.2
569,Residence Tebet A,Jakarta Selatan,1BR,30.6,7450000,"AC, Akses Kartu, Kolam Renang, Laundry, Parkir, Taman Bermain",7.6,3.7
570,Residence Menteng A,Bekasi,2BR,43.3,5420000,"Kolam Renang, Minimarket, Taman Bermain",6.68,4.8
571,Suites Kuningan A,Tangerang,2BR,47.2,6160000,"Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",6.34,3.3
572,Suites Kuningan II,Tangerang,3BR,113.3,10110000,"AC, Akses Kartu, Keamanan 24 Jam, Parkir",10.85,4.2
573,Suites Royal Mediterania B,Jakarta Utara,1BR,36.5,5210000,"Gym, Keamanan 24 Jam, Minimarket",3.38,4.1
574,Residence Kuningan II,Bekasi,3BR,95.1,7310000,"AC, Akses Kartu, Furnished, Gym, Laundry, Parkir",1.18,4.5
575,Tower Senayan B,Bekasi,3BR,124.2,8470000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir",6.87,4.8
576,Kost Eksklusif Kemang I,Tangerang,Studio,29.9,2650000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Minimarket",1.35,3.1
577,Residence Margonda I,Bekasi,3BR,87.3,10190000,"AC, Gym, Kolam Renang",2.41,4.0
578,Apartemen Royal Mediterania A,Jakarta Barat,Studio,24.6,2980000,"AC, Gym, Keamanan 24 Jam, Minimarket",11.41,3.4
579,Residence Pondok Indah A,Jakarta Barat,3BR,75.9,14560000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",0.23,4.7
580,Tower Kelapa Gading B,Jakarta Barat,3BR,109.9,10550000,"Akses Kartu, Laundry, Parkir",7.22,3.2
581,Residence Kemang I,Tangerang,Studio,29.9,3170000,"Gym, Keamanan 24 Jam, Parkir",2.39,4.0
582,Tower Kuningan A,Depok,2BR,59.7,5760000,"Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",2.56,3.8
583,Kost Eksklusif Tebet A,Depok,Studio,22.7,4210000,"Gym, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir",0.89,4.4
584,Suites Senayan C,Jakarta Pusat,2BR,73.6,10330000,"Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",8.39,3.0
585,Tower Kelapa Gading I,Bekasi,3BR,98.2,12930000,"Gym, Kolam Renang, Parkir",6.09,4.5
586,Tower Thamrin C,Jakarta Barat,Studio,19.7,3500000,"AC, Furnished, Kolam Renang, Minimarket, Parkir, Taman Bermain",2.5,3.6
587,Residence Kelapa Gading II,Jakarta Selatan,3BR,107.1,11210000,"AC, Akses Kartu, Furnished, Kolam Renang, Parkir",10.18,4.7
